# AFT geometry generated from EventDisp2DwithAFTKK.cc
#
# Units: mm
# fiberID assignment:
#   scan aft_de_low_cut[36][32] in increasing [plane][segment] order;
#   skip nonexistent Y/Y' segments 16..31.
# planeID:
#   -1 = unset. This field is reserved for the EASIROC plane ID and can be
#   filled manually later.
#
# Columns:
# fiberID planeID globalLayerID layerType layerIndex fiberIndex centerX centerY centerZ dirX dirY dirZ length radius
#
134 -1  5 XP 1  6 -31.218729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
135 -1  5 XP 1  7 -28.118729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
136 -1  5 XP 1  8 -25.018729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
137 -1  5 XP 1  9 -21.918729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
138 -1  5 XP 1 10 -18.818729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
139 -1  5 XP 1 11 -15.718729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
140 -1  5 XP 1 12 -12.618729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
141 -1  5 XP 1 13  -9.518729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
142 -1  5 XP 1 14  -6.418729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
143 -1  5 XP 1 15  -3.318729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
144 -1  5 XP 1 16  -0.218729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
145 -1  5 XP 1 17   2.881271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
146 -1  5 XP 1 18   5.981271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
147 -1  5 XP 1 19   9.081271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
148 -1  5 XP 1 20  12.181271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
149 -1  5 XP 1 21  15.281271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
150 -1  5 XP 1 22  18.381271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
151 -1  5 XP 1 23  21.481271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
152 -1  5 XP 1 24  24.581271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
153 -1  5 XP 1 25  27.681271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
154 -1  5 XP 1 26  30.781271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
155 -1  5 XP 1 27  33.881271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
156 -1  5 XP 1 28  36.981271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
157 -1  5 XP 1 29  40.081271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
158 -1  5 XP 1 30  43.181271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
159 -1  5 XP 1 31  46.281271   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
160 -1  6 Y  1  0   0.000000 -23.582233 369.260000 1.0 0.0 0.0 100.0 1.5
161 -1  6 Y  1  1   0.000000 -20.482233 369.260000 1.0 0.0 0.0 100.0 1.5
162 -1  6 Y  1  2   0.000000 -17.382233 369.260000 1.0 0.0 0.0 100.0 1.5
163 -1  6 Y  1  3   0.000000 -14.282233 369.260000 1.0 0.0 0.0 100.0 1.5
164 -1  6 Y  1  4   0.000000 -11.182233 369.260000 1.0 0.0 0.0 100.0 1.5
165 -1  6 Y  1  5   0.000000  -8.082233 369.260000 1.0 0.0 0.0 100.0 1.5
166 -1  6 Y  1  6   0.000000  -4.982233 369.260000 1.0 0.0 0.0 100.0 1.5
167 -1  6 Y  1  7   0.000000  -1.882233 369.260000 1.0 0.0 0.0 100.0 1.5
168 -1  6 Y  1  8   0.000000   1.217767 369.260000 1.0 0.0 0.0 100.0 1.5
169 -1  6 Y  1  9   0.000000   4.317767 369.260000 1.0 0.0 0.0 100.0 1.5
170 -1  6 Y  1 10   0.000000   7.417767 369.260000 1.0 0.0 0.0 100.0 1.5
171 -1  6 Y  1 11   0.000000  10.517767 369.260000 1.0 0.0 0.0 100.0 1.5
172 -1  6 Y  1 12   0.000000  13.617767 369.260000 1.0 0.0 0.0 100.0 1.5
173 -1  6 Y  1 13   0.000000  16.717767 369.260000 1.0 0.0 0.0 100.0 1.5
174 -1  6 Y  1 14   0.000000  19.817767 369.260000 1.0 0.0 0.0 100.0 1.5
175 -1  6 Y  1 15   0.000000  22.917767 369.260000 1.0 0.0 0.0 100.0 1.5
176 -1  7 YP 1  0   0.000000 -25.132233 371.960000 1.0 0.0 0.0 100.0 1.5
177 -1  7 YP 1  1   0.000000 -22.032233 371.960000 1.0 0.0 0.0 100.0 1.5
178 -1  7 YP 1  2   0.000000 -18.932233 371.960000 1.0 0.0 0.0 100.0 1.5
179 -1  7 YP 1  3   0.000000 -15.832233 371.960000 1.0 0.0 0.0 100.0 1.5
180 -1  7 YP 1  4   0.000000 -12.732233 371.960000 1.0 0.0 0.0 100.0 1.5
181 -1  7 YP 1  5   0.000000  -9.632233 371.960000 1.0 0.0 0.0 100.0 1.5
182 -1  7 YP 1  6   0.000000  -6.532233 371.960000 1.0 0.0 0.0 100.0 1.5
183 -1  7 YP 1  7   0.000000  -3.432233 371.960000 1.0 0.0 0.0 100.0 1.5
184 -1  7 YP 1  8   0.000000  -0.332233 371.960000 1.0 0.0 0.0 100.0 1.5
185 -1  7 YP 1  9   0.000000   2.767767 371.960000 1.0 0.0 0.0 100.0 1.5
186 -1  7 YP 1 10   0.000000   5.867767 371.960000 1.0 0.0 0.0 100.0 1.5
187 -1  7 YP 1 11   0.000000   8.967767 371.960000 1.0 0.0 0.0 100.0 1.5
188 -1  7 YP 1 12   0.000000  12.067767 371.960000 1.0 0.0 0.0 100.0 1.5
189 -1  7 YP 1 13   0.000000  15.167767 371.960000 1.0 0.0 0.0 100.0 1.5
190 -1  7 YP 1 14   0.000000  18.267767 371.960000 1.0 0.0 0.0 100.0 1.5
191 -1  7 YP 1 15   0.000000  21.367767 371.960000 1.0 0.0 0.0 100.0 1.5
192 -1  8 X  2  0 -48.268729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
193 -1  8 X  2  1 -45.168729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
194 -1  8 X  2  2 -42.068729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
195 -1  8 X  2  3 -38.968729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
196 -1  8 X  2  4 -35.868729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
197 -1  8 X  2  5 -32.768729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
198 -1  8 X  2  6 -29.668729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
199 -1  8 X  2  7 -26.568729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
200 -1  8 X  2  8 -23.468729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
201 -1  8 X  2  9 -20.368729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
202 -1  8 X  2 10 -17.268729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
203 -1  8 X  2 11 -14.168729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
204 -1  8 X  2 12 -11.068729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
205 -1  8 X  2 13  -7.968729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
206 -1  8 X  2 14  -4.868729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
207 -1  8 X  2 15  -1.768729   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
208 -1  8 X  2 16   1.331271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
209 -1  8 X  2 17   4.431271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
210 -1  8 X  2 18   7.531271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
211 -1  8 X  2 19  10.631271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
212 -1  8 X  2 20  13.731271   0.000000 375.060000 0.0 1.0 0.0 50.0 1.5
